Temperature (K),Pressure (MPa),phase_code,reduced_temperature,reduced_pressure,critical_distance,inverse_critical_distance,abs_reduced_temperature_offset,abs_reduced_pressure_offset,target,true,pred,abs_error,relative_error_pct
296.9798196436468,2.795999586339824,3.0,57.1631704894129,12.245968755868184,57.27803708823151,0.0174586988457651,56.1631714894129,11.245969755868185,Density (kg/m^3),4.472483290610524,4.308848857879639,0.1636344327308849,3.65869299220004
2.202994462199593,0.2265418444998135,4.0,0.4240360445401793,0.9922120028898628,0.576016606434146,1.7360610594033743,0.5759649554598207,0.0077889971101371,Cv (kJ/(kg·K)),2.5908008083817915,2.496824026107788,0.0939767822740034,3.6273256504308833
292.7550077281158,2.84368236096412,3.0,56.34997165286236,12.454810620901018,56.52284536657169,0.0176919614275365,55.34997265286236,11.454811620901015,Density (kg/m^3),4.612381214899146,4.446750164031982,0.1656310508671632,3.5910095707643044
4.985976965462941,0.0010056253661745,1.0,0.95970915355474,0.0044044558784797,0.99641047755526,1.0036024535325512,0.0402918464452599,0.9955965441215204,Density (kg/m^3),0.0972468233716366,0.1007310897111892,0.0034842663395526,3.582910185392131
6.6123050797288165,0.2291028777417384,3.0,1.272747498648551,1.0034288618681606,0.2727690508704246,3.6661050687713,0.272748498648551,0.0034298618681605,Enthalpy (kJ/kg),32.05890887653831,30.911605834960938,1.1473030415773735,3.5787339051236557
299.27018852633125,2.7387241185050595,3.0,57.604024507984384,11.99511264236624,57.662016028914735,0.0173424390763331,56.60402550798439,10.995113642366237,Density (kg/m^3),4.3489844150484425,4.193910598754883,0.1550738162935596,3.565747804406246
5.185607294355086,0.3398659091095906,4.0,0.9981343318682436,1.488550758188466,0.4885543204640636,2.0468552996320426,0.0018666681317562,0.4885517581884661,Entropy (kJ/(kg·K)),0.7767651075217239,0.7493090629577637,0.0274560445639602,3.534665022680921
296.9095976094119,2.761518691312593,3.0,57.14965403526494,12.094948718082486,57.235317203076846,0.0174717298491051,56.149655035264935,11.094949718082484,Density (kg/m^3),4.419074250762159,4.264263153076172,0.1548110976859869,3.503247261783089
4.70695528124595,0.2283380827365469,4.0,0.906002594892682,1.000079199091393,0.093997438472574,10.638587776961316,0.0939984051073181,8.019909139326119e-05,Density (kg/m^3),120.39417028543464,124.58708953857422,4.1929192531395785,3.482659702873371
4.981263260518521,0.0010121604814994,1.0,0.958801851773434,0.004433078492902,0.9964189794541342,1.0035938903410166,0.0411991482265661,0.995567921507098,Density (kg/m^3),0.0979727460413334,0.1013819202780723,0.0034091742367389,3.4797169360759552
4.757985845365452,0.7679474903823561,4.0,0.9158250428975137,3.363470087519079,2.3649685575078263,0.4228386025790496,0.0841759571024864,2.363471087519079,Entropy (kJ/(kg·K)),-0.1068095373051141,-0.1027183532714843,0.0040911840336297,3.477550955663987
282.8101725296099,2.952620871294468,3.0,54.43577320455217,12.931941447505556,54.751740471651104,0.0182642595721276,53.435774204552175,11.931942447505554,Density (kg/m^3),4.952194914425991,4.780173301696777,0.172021612729214,3.473643822623105
4.720403646634408,0.7600847431360117,4.0,0.9085911586692604,3.329032687175945,2.330825783752924,0.4290324943934136,0.0914098413307395,2.329033687175945,Entropy (kJ/(kg·K)),-0.1314428235690362,-0.1268839836120605,0.0045588399569756,3.4683064721150485
295.2780277956372,2.778365766501439,3.0,56.83560675911635,12.168735837865448,56.94168633237605,0.0175618262192459,55.83560775911636,11.168736837865447,Density (kg/m^3),4.469888465166573,4.31488561630249,0.1550028488640826,3.4677117801038104
295.69042395285203,2.7681911915828685,3.0,56.91498545855909,12.124173053533935,57.01081322833279,0.0175405321091443,55.91498645855909,11.124174053533936,Density (kg/m^3),4.447612286407414,4.294133186340332,0.1534791000670816,3.450820129626347
281.4962326273153,2.96142871216299,3.0,54.18286386297525,12.97051818571737,54.51339573263024,0.0183441149933983,53.18286486297525,11.97051918571737,Density (kg/m^3),4.989558611210956,4.818011283874512,0.1715473273364445,3.4381263094294088
279.4034311452708,2.98118379957271,3.0,53.7800379468502,13.057041869186712,54.139677356872646,0.0184707417705557,52.7800389468502,12.057042869186713,Density (kg/m^3),5.059349855804692,4.886830806732178,0.1725190490725143,3.409905501486122
5.193716489803835,0.1173408878995522,1.0,0.9996952033191222,0.5139317094409259,0.4860683861228141,2.057323678210439,0.0003057966808778,0.486069290559074,Density (kg/m^3),13.546282824205091,13.085071563720703,0.4612112604843883,3.404707154499062
4.946326712313553,0.0010022049552216,1.0,0.9520772067664144,0.0043894751017063,0.9967632173187194,1.0032472934645276,0.0479237932335854,0.9956115248982936,Density (kg/m^3),0.0976952533850984,0.1010128706693649,0.0033176172842665,3.395883801221173
